year,taxa,king,,type,depth,blk,Shannon
2019,phy,fung,1,fescue,0,A,0.7606768
2019,phy,fung,2,grape,0,A,0.8127634
2019,phy,fung,3,soil,0,A,0.9625313
2019,phy,fung,4,fescue,33,A,1.0204775
2019,phy,fung,5,grape,33,A,0.9838663
2019,phy,fung,6,soil,33,A,0.5570377
2019,phy,fung,7,grape,66,A,0.9983485
2019,phy,fung,8,soil,66,A,0.6352839
2019,phy,fung,9,fescue,0,B,0.8742347
2019,phy,fung,10,grape,0,B,0.6727316
2019,phy,fung,11,soil,0,B,1.0530247
2019,phy,fung,12,fescue,33,B,1.0188798
2019,phy,fung,13,grape,33,B,0.775209
2019,phy,fung,14,soil,33,B,0.6231038
2019,phy,fung,15,grape,66,B,0.9663875
2019,phy,fung,16,soil,66,B,0
2019,phy,fung,17,fescue,0,C,0.8406315
2019,phy,fung,18,grape,0,C,0.6917813
2019,phy,fung,19,soil,0,C,0.9162632
2019,phy,fung,20,fescue,33,C,0.8863201
2019,phy,fung,21,grape,33,C,0.472403
2019,phy,fung,22,soil,33,C,0.8857672
2019,phy,fung,23,grape,66,C,0.7988996
2019,phy,fung,24,soil,66,C,0.6109848
2019,phy,bac,1,fescue,0,A,1.727958
2019,phy,bac,2,grape,0,A,1.494922
2019,phy,bac,3,soil,0,A,1.966028
2019,phy,bac,4,fescue,33,A,1.731656
2019,phy,bac,5,grape,33,A,1.541066
2019,phy,bac,6,soil,33,A,1.407038
2019,phy,bac,7,grape,66,A,1.505817
2019,phy,bac,8,soil,66,A,1.276628
2019,phy,bac,9,fescue,0,B,1.894814
2019,phy,bac,10,grape,0,B,1.742671
2019,phy,bac,11,soil,0,B,2.017694
2019,phy,bac,12,fescue,33,B,1.84621
2019,phy,bac,13,grape,33,B,1.540712
2019,phy,bac,14,soil,33,B,1.268794
2019,phy,bac,15,grape,66,B,1.449454
2019,phy,bac,16,soil,66,B,1.480076
2019,phy,bac,17,fescue,0,C,1.740385
2019,phy,bac,18,grape,0,C,1.527234
2019,phy,bac,19,soil,0,C,1.941434
2019,phy,bac,20,fescue,33,C,1.547967
2019,phy,bac,21,grape,33,C,1.368605
2019,phy,bac,22,soil,33,C,1.156573
2019,phy,bac,23,grape,66,C,1.176926
2019,phy,bac,24,soil,66,C,1.433999
2019,gen,bac,1,fescue,0,A,2.912028
2019,gen,bac,2,grape,0,A,2.792838
2019,gen,bac,3,soil,0,A,2.198808
2019,gen,bac,4,fescue,33,A,2.988353
2019,gen,bac,5,grape,33,A,3.002415
2019,gen,bac,6,soil,33,A,2.371604
2019,gen,bac,7,grape,66,A,2.921767
2019,gen,bac,8,soil,66,A,2.328336
2019,gen,bac,9,fescue,0,B,2.468011
2019,gen,bac,10,grape,0,B,2.880084
2019,gen,bac,11,soil,0,B,2.340387
2019,gen,bac,12,fescue,33,B,2.594353
2019,gen,bac,13,grape,33,B,3.087032
2019,gen,bac,14,soil,33,B,2.340485
2019,gen,bac,15,grape,66,B,3.025885
2019,gen,bac,16,soil,66,B,2.298537
2019,gen,bac,17,fescue,0,C,2.571941
2019,gen,bac,18,grape,0,C,2.648603
2019,gen,bac,19,soil,0,C,2.235749
2019,gen,bac,20,fescue,33,C,2.777143
2019,gen,bac,21,grape,33,C,2.762747
2019,gen,bac,22,soil,33,C,2.099216
2019,gen,bac,23,grape,66,C,2.779883
2019,gen,bac,24,soil,66,C,2.644768
2019,gen,fung,1,fescue,0,A,1.5381989
