"","year","type","blk","gc","rs","depth","mass","newroot","Nitrolancea","Desulfallas-Sporotomaculum","Thermaerobacter","Candidatus Rubidus","Candidatus Captivus","Desulfovibrio","ZOR0006","Sedimentibacter","Tepidimicrobium","Brevibacillus","1921-3","Longilinea","Cohnella","Thermostilla","WCHB1-32","Syntrophomonas","Methylophilus","Tyzzerella","Rhizomicrobium","Tissierella","Rubrobacter","Desulfobulbus","Anaerocolumna","Lentimicrobium","Planctomicrobium","Candidatus Amoebophilus","Leptolyngbya Es-Yyy1000","Pedococcus-Phycicoccus","Niabella","Rhodopirellula","FFCH7168","Anaerolinea","I-8","Deinococcus","Pelosinus","Papillibacter","TM7a","Vampirovibrio","Emticicia","Nostoc PCC-7524","SM1A02","Tepidisphaera","Telmatocola","Limnochorda","Desulfitobacterium","Marimicrobium","Desulfosporosinus","Abditibacterium","Sorangium","Arboricoccus","Shimazuella","DEV114","Bacteriovorax","Candidatus Omnitrophus","Peredibacter","Prosthecobacter","Candidatus Paracaedibacter","Brevifollis","Sumerlaea","Altererythrobacter","Candidatus Babela","Oligoflexus","Ruminiclostridium","Blastopirellula","SH3-11","Sandaracinus","1921-2","Sporocytophaga","Phycisphaera","Silvanigrella","Modestobacter","Holophaga","Anaerobacterium","Lacibacter","Neochlamydia","Turneriella","Parafilimonas","AKYG587","KD3-10","CL500-29 marine group","Bauldia","Roseomonas","Pseudopelobacter","Ktedonobacter","Pseudenhygromyxa","Symbiobacterium","Defluviicoccus","Tundrisphaera","Bdellovibrio","FCPS473","Candidatus Rhabdochlamydia","Schlesneria","Salinispira","G12-WMSP1","Verrucomicrobium","Planifilum","Porticoccus","Spirochaeta 2","JG30a-KF-32","OM60(NOR5) clade","Candidatus Protochlamydia","Cellvibrio","P3OB-42","Cytophaga","alphaI cluster","Pelomonas","possible genus 04","SH-PL14","Roseimicrobium","Blastococcus","Romboutsia","1959-1","Sulfurifustis","Aurantisolimonas","Segetibacter","Coxiella","Zavarzinella","Nevskia","Adhaeribacter","Uliginosibacterium","Terriglobus","DEV008","Pir4 lineage","Rhodovastum","Flavihumibacter","Fimbriimonas","Legionella","Geothrix","OM27 clade","Candidatus Ovatusbacter","Dechloromonas","Candidatus Obscuribacter","Nannocystis","Cereibacter","Candidatus Alysiosphaera","AAP99","Alkanindiges","Gemmata","Ohtaekwangia","Clostridium sensu stricto 12","Ilumatobacter","Nocardia","Anaeromyxobacter","Dyadobacter","Fluviicola","Acinetobacter","Methylobacter","Inquilinus","Aeromonas","Granulicella","Dinghuibacter","Methylobacterium-Methylorubrum","Xanthomonas","UTBCD1","Sphingobium","Hirschia","Fimbriiglobus","Edaphobaculum","Actinomadura","Hydrocarboniphaga","Hassallia","Bryocella","Polycyclovorans","Thermosporothrix","Clostridium sensu stricto 9","Taibaiella","Filimonas","Azospira","Pirellula","Ellin6055","SWB02","Ammoniphilus","Xylella","Skermanella","Duganella","Pantoea","Flavitalea","Tardiphaga","Alkanibacter","Clostridium sensu stricto 3","Phaselicystis","Paenibacillus","Polyangium","Dokdonella","Luteibacter","OLB12","Sediminibacterium","Pajaroellobacter","Dyella","Terrimicrobium","Rhodomicrobium","Microvirga","Bosea","Rurimicrobium","Rickettsiella","Pseudoxanthomonas","Oxalicibacterium","Chthonomonas","Clostridium sensu stricto 5","Microterricola","Arenimonas","Opitutus","Clostridium sensu stricto 2","Tumebacillus","Candidatus Berkiella","Thermoactinomyces","Afipia","Terracidiphilus","Paraclostridium","Clostridium sensu stricto 13","Acidovorax","Sporosarcina","Cellulomonas","Agromyces","MM2","Vicinamibacter","Kineosporia","Stenotrophomonas","Labrys","Undibacterium","Citrifermentans","Yersinia","Kitasatospora","Nocardioides","Cystobacter","Dactylosporangium","Pseudoduganella","Clostridium sensu stricto 1","Subgroup 10","Neorhizobium","IS-44","Chryseobacterium","Luteolibacter","Candidatus Koribacter","Rhodanobacter","Solimonas","Phenylobacterium","Corallococcus","Dongia","Ralstonia","Lacunisphaera","Aeromicrobium","Rhodococcus","Rudaea","Solirubrobacter","Nitrosospira","Lysinimonas","Acidipila-Silvibacterium","Lysobacter","Lysinibacillus","Ferribacterium","Asticcacaulis","Caenimonas","Ferruginibacter","Kribbella","Pedobacter","Actinoplanes","Mucilaginibacter","Actimicrobium","Cupriavidus","Occallatibacter","mle1-7","Edaphobacter","Conyzicola","Pedomicrobium","Iamia","Roseiarcus","Singulisphaera","Aquicella","Minicystis","Nordella","Geobacter","Chryseolinea","Terrimonas","Luedemannella","Flavobacterium","Massilia","Noviherbaspirillum","Methylotenera","RB41","Collimonas","Rhizobacter","MND1","Devosia","Caulobacter","Pseudonocardia","Piscinibacter","Archangium","Chitinophaga","HSB OF53-F07","Puia","Niastella","Chthoniobacter","Conexibacter","Povalibacter","Ramlibacter","Jatrophihabitans","Candidatus Solibacter","Terrabacter","JGI 0001001-H03","Aquisphaera","Rhodoplanes","Acidicaldus","Mesorhizobium","Nitrospira","Novosphingobium","Reyranella","Nakamurella","Gemmatimonas","Haliangium","Candidatus Xiphinematobacter","Actinospica","ADurb.Bin063-1","Bryobacter","Acidibacter","Aetherobacter","Variovorax","Gaiella","UBA6140","Sphaerotilus","Pseudomonas","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Oryzihumus","Pseudolabrys","Steroidobacter","Hyphomicrobium","Ellin6067","Arthrobacter","Pseudarthrobacter","Streptomyces","Burkholderia-Caballeronia-Paraburkholderia","unclassified","Bacillus","Mycobacterium","Acidothermus","Sphingomonas","Candidatus Udaeobacter","Bradyrhizobium"
"SF1",2020,"soil","A","noGC","LV",0,313,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,79,0,0,0,0,51,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,74,0,0,0,0,0,0,86,0,0,0,0,48,94,0,0,0,0,0,0,253,0,0,127,0,0,287,86,180,0,0,133,0,0,2091,895,203,0,0,763,225
"SF2",2020,"soil","A","noGC","LV",33,326,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,30,0,37,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,17,0,0,0,0,0,72,73,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,20,66,130,0,56,0,0,0,0,228,0,0,97,0,103,0,0,77,121,0,0,134,204,150,0,236,0,0,80,0,0,155,0,37,0,0,107,80,0,3784,753,185,126,68,1208,316
"SF3",2020,"soil","A","noGC","LV",66,292,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,46,0,0,0,0,0,35,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,43,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,108,0,47,0,0,0,0,0,38,0,0,0,0,154,0,439,109,0,0,0,6,140,0,0,0,0,0,0,0,64,161,0,31,176,57,0,203,0,182,68,243,0,0,0,0,0,54,0,165,112,0,0,164,357,231,0,0,5544,592,253,390,649,822,353
"SF4",2020,"soil","A","GC","LV",0,278,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,30,0,0,32,0,31,33,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,18,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,92,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,65,0,68,0,78,0,0,0,0,46,0,0,0,0,0,92,0,76,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,59,0,0,0,0,117,0,0,0,0,0,0,0,0,165,112,0,0,84,0,0,132,0,0,109,0,136,0,403,123,0,0,0,0,140,150,0,208,155,117,0,167,141,160,0,172,248,338,0,117,0,205,0,229,0,0,0,0,0,170,0,318,313,0,0,267,335,299,0,185,7374,1086,345,407,608,1670,524
"SF5",2020,"soil","A","GC","LV",33,339,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,0,2,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,77,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,154,0,0,0,125,0,0,338,0,0,0,0,0,244,0,0,0,0,158,0,0,2037,273,176,0,0,788,258
"SF6",2020,"soil","A","GC","LV",66,297,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,116,29,0,0,0,0,0,0,0,0,51,0,0,0,0,0,103,0,0,0,127,66,0,51,286,0,79,0,69,0,59,0,0,0,64,94,0,42,0,84,156,200,0,211,59,0,0,0,0,0,0,0,0,152,206,0,0,0,177,170,0,138,3162,627,258,254,352,968,268
"SF7",2020,"soil","A","GC","MV",0,267,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,32,0,0,114,0,0,0,0,0,0,0,0,78,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,81,0,0,0,0,0,189,0,64,280,0,0,205,223,104,283,0,134,76,159,0,0,0,0,0,91,0,177,186,0,0,131,184,132,0,0,4187,636,295,284,369,1014,346
"SF8",2020,"soil","A","GC","MV",33,327,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,14,0,8,0,0,0,44,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,66,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,17,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,18,0,152,0,0,0,0,0,69,132,0,0,109,0,44,0,0,80,143,0,0,112,147,0,0,444,0,0,0,0,0,71,0,97,142,104,0,0,0,2547,711,219,0,50,1094,273
"SF9",2020,"soil","A","GC","MV",66,311,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,32,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,94,101,0,0,80,174,0,0,0,113,0,0,0,0,140,0,0,190,160,141,0,0,0,0,0,0,0,138,242,0,0,107,85,79,69,205,3906,617,0,290,305,751,282
"SF10",2020,"soil","A","noGC","MV",0,312,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,100,0,38,0,0,21,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,29,61,0,0,0,86,0,81,91,78,55,169,0,0,0,0,134,0,139,0,0,95,0,135,114,0,0,160,147,106,0,0,3556,447,194,433,433,800,251
