"","year","Row","Column","type","blk","gc","rs","depth","mass","Nitrospinota","WS2","Deinococcota","GAL15","SAR324 clade(Marine group B)","Abditibacteriota","Sumerlaeota","NB1-j","Campylobacterota","Entotheonellaeota","RCP2-54","FCPU426","Dependentiae","Bdellovibrionota","WPS-2","Desulfobacterota","Patescibacteria","Methylomirabilota","Armatimonadota","Spirochaetota","Latescibacterota","Fibrobacterota","Elusimicrobiota","Planctomycetota","Gemmatimonadota","MBNT15","Hydrogenedentes","Cyanobacteria","unclassified","Nitrospirota","Myxococcota","Bacteroidota","Acidobacteriota","Firmicutes","Actinobacteriota","Verrucomicrobiota","Chloroflexi","Proteobacteria"
"Sa1",2019,"A",1,"soil","A","noGC","LV","0","400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,8,0,5,34,77,0,0,2,91,190,138,371,132,257,728,439,309,1162
"Sa2",2019,"A",2,"soil","A","noGC","LV","33","504",0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,80,17,16,0,60,0,0,122,140,0,0,66,236,136,283,416,1013,307,1171,439,27,7885
"Sa3",2019,"A",3,"soil","A","noGC","LV","66","697",0,0,0,0,0,0,0,30,0,0,0,0,0,14,0,160,46,0,0,0,97,0,0,150,159,0,0,72,69,0,244,663,1219,476,898,153,198,10186
"Sa4",2019,"A",4,"soil","A","GC","LV","0","495",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,25,0,0,40,29,0,0,0,7,32,19,47,71,8,836,200,493,627
"Sa5",2019,"A",5,"soil","A","GC","LV","33","805",0,0,0,0,0,0,104,0,0,0,0,0,0,77,0,191,95,0,0,0,108,0,0,274,70,0,0,0,122,69,509,574,1798,589,986,559,409,12397
"Sa6",2019,"A",6,"soil","A","GC","LV","66","707",0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,136,234,0,0,278,0,0,273,0,0,0,0,392,0,1198,1169,2323,957,2093,1223,525,29719
"Sa7",2019,"A",7,"soil","A","noGC","MV","0","501",0,0,0,0,0,0,0,3,0,0,0,0,2,12,0,3,6,0,4,0,37,0,6,340,105,0,2,0,116,137,410,759,497,279,2253,1202,345,2615
"Sa8",2019,"A",8,"soil","A","noGC","MV","33","692",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,232,0,0,0,100,123,0,297,154,131,0,292,598,0,1042,1570,1120,469,1943,538,378,19839
"Sa9",2019,"A",9,"soil","A","noGC","MV","66","685",0,0,0,0,0,0,0,0,69,0,46,0,0,0,0,0,205,0,0,0,188,0,0,164,123,0,0,113,69,112,1112,595,1431,1055,1523,222,118,15395
"Sa10",2019,"A",10,"soil","A","GC","MV","0","738",0,0,0,0,0,0,0,0,0,22,0,0,4,3,0,11,0,0,0,0,0,5,3,53,18,0,0,0,46,91,46,97,116,31,393,590,29,834
"Sa11",2019,"A",11,"soil","A","GC","MV","33","702",0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,108,103,84,39,0,63,0,0,459,116,0,0,52,0,15,537,729,571,894,1397,439,338,13398
"Sa13",2019,"B",1,"soil","B","GC","LV","0","724",0,0,0,0,0,0,0,0,0,13,3,0,0,4,0,95,0,0,4,5,12,16,0,56,31,0,0,0,45,62,225,358,377,54,924,604,171,1118
"Sa14",2019,"B",2,"soil","B","GC","LV","33","788",0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,435,244,0,169,0,336,0,272,1172,304,129,141,0,433,471,1097,2320,3432,1508,4760,2274,1716,46866
"Sa15",2019,"B",3,"soil","B","GC","LV","66","750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,178,0,0,0,89,0,0,130,273,62,0,0,4,0,900,860,965,466,1576,480,686,11060
"Sa16",2019,"B",4,"soil","B","noGC","LV","0","708",0,2,0,0,0,0,3,10,0,0,0,0,0,2,0,34,0,0,0,0,16,0,2,90,85,0,0,0,87,131,34,443,453,267,1298,846,238,2339
"Sa17",2019,"B",5,"soil","B","noGC","LV","33","740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,17,0,0,0,43,0,0,175,77,0,0,0,101,0,426,928,2835,551,909,362,489,12576
"Sa18",2019,"B",6,"soil","B","noGC","LV","66","762",0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,50,47,0,0,94,0,0,212,226,0,0,73,259,193,630,630,1421,252,982,718,326,10992
"Sa19",2019,"B",7,"soil","B","noGC","MV","0","744",0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,7,0,5,0,0,27,0,0,74,12,0,0,0,83,136,35,155,82,240,882,491,211,1251
"Sa20",2019,"B",8,"soil","B","noGC","MV","33","762",0,0,0,0,0,0,0,0,0,21,0,0,0,41,0,0,0,0,11,0,12,13,0,23,0,0,0,0,17,111,279,144,337,44,3902,838,722,6055
"Sa21",2019,"B",9,"soil","B","noGC","MV","66","762",0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,119,133,55,0,0,155,0,28,200,326,87,0,41,282,0,842,715,1243,305,2404,735,398,13459
"Sa22",2019,"B",10,"soil","B","GC","MV","0","44",0,0,0,0,5,0,0,0,0,2,0,0,0,11,0,0,5,0,0,0,17,10,19,157,38,0,0,0,159,206,434,472,336,126,1096,823,182,1596
"Sa23",2019,"B",11,"soil","B","GC","MV","33","704",0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,59,0,0,302,42,0,0,0,0,68,310,243,444,126,715,199,20,9329
"Sa24",2019,"B",12,"soil","B","GC","MV","66","725",0,0,0,0,0,0,0,0,0,78,0,32,0,0,0,165,234,181,0,0,232,0,0,157,165,0,0,32,79,0,346,842,1532,767,1121,928,348,13520
"Sa25",2019,"C",1,"soil","C","noGC","MV","0","766",0,0,0,0,0,0,3,0,0,0,0,0,5,16,0,30,6,18,2,2,74,0,20,122,41,0,0,0,88,128,331,206,753,24,1926,539,334,1822
"Sa26",2019,"C",2,"soil","C","noGC","MV","33","753",0,0,0,0,0,0,0,18,0,42,0,21,0,108,0,53,16,0,0,0,194,16,0,123,169,0,0,120,90,0,429,342,926,174,1728,318,495,11502
"Sa27",2019,"C",3,"soil","C","noGC","MV","66","825",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,102,143,0,0,0,0,0,0,212,131,0,0,39,0,0,246,676,1302,364,1241,482,450,10820
"Sa28",2019,"C",4,"soil","C","GC","MV","0","732",0,0,0,0,0,0,0,0,0,26,0,0,0,7,0,3,5,0,0,0,25,0,5,78,25,0,0,2,72,70,118,123,587,19,586,368,26,1170
"Sa29",2019,"C",5,"soil","C","GC","MV","33","459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,17,0,0,0,0,2,25,13,154,43,157,229,90,43,3306
"Sa30",2019,"C",6,"soil","C","GC","MV","66","736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,188,0,61,0,269,0,151,394,98,0,0,175,303,338,636,1948,2374,956,2078,660,513,16993
"Sa31",2019,"C",7,"soil","C","noGC","LV","0","748",0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,0,4,0,0,2,0,4,112,48,0,0,0,81,120,279,65,165,358,1793,958,248,2000
