"","year","type","blk","gc","rs","depth","mass","newroot","WS2","WS1","Halanaerobiaeota","Hydrogenedentes","Deinococcota","Abditibacteriota","Sumerlaeota","FCPU426","Spirochaetota","NB1-j","Elusimicrobiota","Fibrobacterota","SAR324 clade(Marine group B)","Patescibacteria","Entotheonellaeota","Bdellovibrionota","WPS-2","Cyanobacteria","unclassified","Latescibacterota","Armatimonadota","MBNT15","RCP2-54","Dependentiae","GAL15","Methylomirabilota","Desulfobacterota","Planctomycetota","Nitrospirota","Gemmatimonadota","Myxococcota","Acidobacteriota","Bacteroidota","Chloroflexi","Firmicutes","Actinobacteriota","Verrucomicrobiota","Proteobacteria"
"SF1",2020,"soil","A","noGC","LV",0,313,313,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,24,0,0,6,0,0,98,0,4,0,139,11,73,89,33,229,375,439,311,999,959,891,1269
"SF2",2020,"soil","A","noGC","LV",33,326,326,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,66,0,0,0,8,0,97,0,121,97,121,398,1292,437,345,869,1486,1490,2578
"SF3",2020,"soil","A","noGC","LV",66,292,292,0,0,0,0,0,0,0,0,0,0,5,0,0,38,0,24,49,0,49,0,17,0,0,12,117,113,0,483,161,135,258,1446,152,1529,638,2586,1229,3255
"SF4",2020,"soil","A","GC","LV",0,278,278,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,9,39,0,55,0,75,0,64,0,101,0,153,423,160,658,508,1644,372,1741,1346,3831,2052,5891
"SF5",2020,"soil","A","GC","LV",33,339,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,60,147,53,15,81,342,256,223,322,1149,1039,1478
"SF6",2020,"soil","A","GC","LV",66,297,297,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,21,0,0,36,9,3,0,0,0,47,37,0,52,94,199,288,996,109,849,692,1984,1467,2089
"SF7",2020,"soil","A","GC","MV",0,267,267,0,0,0,0,0,0,0,12,0,0,0,0,0,41,0,0,31,0,35,0,0,0,0,0,0,42,0,184,280,223,355,1408,184,831,715,1630,1510,2995
"SF8",2020,"soil","A","GC","MV",33,327,327,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41,8,0,3,24,72,4,0,0,0,0,112,0,163,109,40,432,790,279,286,793,1290,1347,1504
"SF9",2020,"soil","A","GC","MV",66,311,311,0,0,0,0,0,0,0,0,0,0,6,4,0,10,0,7,0,0,5,19,33,0,70,5,64,57,0,325,113,193,282,1058,370,791,679,1150,1005,2471
"SF10",2020,"soil","A","noGC","MV",0,312,312,0,0,0,0,0,0,0,0,0,0,11,0,0,28,0,0,22,18,53,0,18,0,0,33,0,87,117,202,86,179,255,750,123,623,558,1447,1017,3014
"SF11",2020,"soil","A","noGC","MV",33,320,320,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32,0,0,10,30,0,0,0,0,0,87,0,105,77,35,248,723,851,287,764,1615,1205,2251
"SF12",2020,"soil","A","noGC","MV",66,302,302,0,0,0,0,0,0,0,12,0,0,0,0,0,25,0,30,33,3,59,0,33,0,49,3,69,0,0,149,94,180,237,1010,132,757,741,1445,583,2602
"SF13",2020,"soil","B","GC","LV",0,323,323,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,8,12,0,32,0,0,26,0,73,0,315,31,408,256,305,13,839,521,1462,1057,2344
"SF14",2020,"soil","B","GC","LV",33,274,274,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,49,0,0,32,0,0,0,34,4,0,97,0,144,107,261,80,905,207,871,854,1635,1391,3018
"SF15",2020,"soil","B","GC","LV",66,298,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,60,0,0,0,0,0,0,0,116,83,0,38,379,547,260,432,913,1312,1194
"SF16",2020,"soil","B","noGC","LV",0,298,298,0,0,0,0,4,0,0,0,0,0,9,7,0,13,0,0,0,0,11,0,0,0,46,0,50,0,0,77,83,273,278,653,200,1013,157,1894,1003,3291
"SF17",2020,"soil","B","noGC","LV",33,299,299,0,0,0,0,0,0,0,0,0,0,28,18,0,11,0,0,18,18,47,0,15,0,57,16,66,0,0,246,0,637,425,1424,158,1185,645,2433,1500,4488
"SF18",2020,"soil","B","noGC","LV",66,302,302,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,10,0,5,25,23,0,0,0,0,0,112,2,287,85,0,200,712,482,100,478,844,1031,1118
"SF19",2020,"soil","B","noGC","MV",0,302,302,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,18,31,4,0,9,0,0,7,0,63,0,50,102,281,175,894,0,656,166,1831,717,2099
"SF20",2020,"soil","B","noGC","MV",33,305,305,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,24,0,0,0,22,0,0,2,0,71,0,250,0,250,287,1174,86,684,515,1801,923,3250
"SF21",2020,"soil","B","noGC","MV",66,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,93,219,0,213,311,453,235
"SF22",2020,"soil","B","GC","MV",0,298,298,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,15,0,38,0,0,4,62,77,0,316,94,249,141,549,67,839,528,1316,1320,2722
"SF23",2020,"soil","B","GC","MV",33,294,294,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,4,25,0,12,0,30,0,52,0,41,79,0,137,144,128,168,673,86,263,264,900,803,1252
"SF24",2020,"soil","B","GC","MV",66,321,321,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,14,26,21,0,10,0,0,0,78,0,0,259,50,322,172,981,25,822,638,1530,960,3120
"SF25",2020,"soil","C","noGC","MV",0,298,298,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,37,32,15,0,0,0,0,134,26,46,116,0,398,1586,152,201,742,1557,1207,1776
"SF26",2020,"soil","C","noGC","MV",33,328,328,0,0,0,0,0,0,0,18,0,5,16,0,0,13,0,4,25,2,23,29,12,0,0,0,54,161,0,232,147,250,81,625,91,689,651,1931,810,3025
"SF27",2020,"soil","C","noGC","MV",66,289,289,0,0,0,0,0,0,0,0,0,0,21,0,0,27,0,0,0,0,77,0,9,4,0,21,85,0,63,361,195,213,123,988,111,885,536,1466,976,3842
"SF28",2020,"soil","C","GC","MV",0,304,304,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,8,81,15,21,0,0,0,74,37,106,108,37,109,1455,417,364,813,1344,971,2648
"SF29",2020,"soil","C","GC","MV",33,326,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,0,28,0,5,0,0,0,0,186,0,190,65,126,135,852,209,887,670,1488,726,3220
"SF30",2020,"soil","C","GC","MV",66,315,315,0,0,0,0,0,0,0,0,0,0,9,29,0,5,0,0,0,3,20,0,21,0,0,0,80,94,0,216,204,376,242,933,138,1094,596,1770,892,3179
"SF31",2020,"soil","C","noGC","LV",0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,17,0,0,0,0,0,0,0,0,0,0,0,40,52,43,193,317,291,353,249,757,893,1571
"SF32",2020,"soil","C","noGC","LV",33,314,314,0,0,0,0,0,0,0,4,0,0,15,8,0,0,0,0,5,4,4,0,0,0,11,9,0,96,0,214,63,91,75,1197,22,499,285,1392,543,1649
"SF33",2020,"soil","C","noGC","LV",66,309,309,0,0,2,0,0,0,0,0,4,0,0,0,0,2,0,25,24,0,0,0,26,0,0,0,63,60,0,68,0,158,347,497,29,722,448,1572,702,2792
"SF34",2020,"soil","C","GC","LV",0,293,293,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,10,0,6,17,59,9,0,0,8,0,135,0,91,84,34,307,714,556,340,874,1090,972,1329
"SF35",2020,"soil","C","GC","LV",33,306,306,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,18,34,8,0,0,5,0,17,19,117,107,15,145,731,243,291,768,1033,981,1751
"SF36",2020,"soil","C","GC","LV",66,289,289,0,0,0,0,0,0,0,0,0,0,13,0,0,10,0,0,20,6,31,28,8,0,0,0,0,0,0,294,80,74,16,409,22,868,299,1881,757,2881
"SF37",2020,"soil","D","GC","LV",0,321,321,0,0,0,0,0,0,0,13,0,0,0,0,0,16,0,0,0,0,7,8,24,0,0,0,0,0,0,151,48,34,172,150,57,356,195,1016,863,1646
"SF38",2020,"soil","D","GC","LV",33,318,318,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,106,87,148,81,144,229,508,382,267,434,744,1033,1570
"SF39",2020,"soil","D","GC","LV",66,307,307,0,0,0,0,0,0,12,0,0,0,39,0,0,36,0,12,54,0,13,0,33,0,41,10,38,155,62,138,92,213,384,1120,178,1168,487,1952,1270,3351
"SF40",2020,"soil","D","noGC","LV",0,291,291,0,0,0,0,0,0,0,0,0,0,21,0,0,4,0,6,0,0,12,0,0,0,0,2,61,88,0,143,0,103,155,961,63,766,337,915,866,2855
