"","sample2","year","Row","Column","type","blk","gc","rs","depth","mass","g__Gorgomyces","g__Lacrymaria","g__Coprinopsis","g__Dactylella","g__Spencerozyma","g__Neocucurbitaria","g__Schizophyllum","g__Myrmecridium","g__Rubellisphaeria","g__Barbatosphaeria","g__Coprinus","g__Coemansia","g__Absidia","g__Calvatia","g__Geomyces","g__Deflexula","g__Rhizophagus","g__Didymosphaeria","g__Clitopilus","g__Minimedusa","g__Pseudophaeomoniella","g__Scleroderma","g__Diversispora","g__Hymenochaetopsis","g__Cephaliophora","g__Hymenoscyphus","g__Octaviania","g__Poaceascoma","g__Myxospora","g__Microdominikia","g__Microbotryozyma","g__Lenzites","g__Ophiosphaerella","g__Schizothecium","g__Yamadamyces","g__Ciliolarina","g__Scedosporium","g__Subulicystidium","g__Torula","g__Lyomyces","g__Helicosporium","g__Stagonospora","g__Phlyctochytrium","g__Kurtzmanomyces","g__Atractiella","g__Lecanicillium","g__Hyphodontia","g__Leptodiscella","g__Ramicandelaber","g__Rasamsonia","g__Nectria","g__Herpotrichia","g__Armillaria","g__Claroideoglomus","g__Gaeumannomyces","g__Bovista","g__Hyaloscypha","g__Slopeiomyces","g__Monodictys","g__Burgoa","g__Amanita","g__Fibulochlamys","g__Gongronella","g__Peniophora","g__Clarireedia","g__Puccinia","g__Talaromyces","g__Trechispora","g__Lepista","g__Kondoa","g__Diaporthe","g__Cladophialophora","g__Inocybe","g__Mycenella","g__Kockovaella","g__Gibellulopsis","g__Tilletia","g__Pseudallescheria","g__Arthrographis","g__Penicillium","g__Cordyceps","g__Dictyosporium","g__Phialemonium","g__Striatibotrys","g__Betamyces","g__Hannaella","g__Delicatula","g__Tolypocladium","g__Serendipita","g__Tetracladium","g__Parascedosporium","g__Veronaeopsis","g__Barnettozyma","g__Monocillium","g__Byssonectria","g__Colletotrichum","g__Goffeauzyma","g__Pyxidiophora","g__Tomentella","g__Chionosphaera","g__Neohelicomyces","g__Neosetophoma","g__Phaeotremella","g__Coniophora","g__Echria","g__Ustilago","g__Oehlia","g__Dichostereum","g__Serpula","g__Vermispora","g__Geastrum","g__Occultifur","g__Panaeolus","g__Basidiobolus","g__Preussia","g__Mastigobasidium","g__Ramariopsis","g__Marasmiellus","g__Sclerogaster","g__Pluteus","g__Phialocephala","g__Pseudophialophora","g__Fusicladium","g__Paraconiothyrium","g__Paracremonium","g__Cryptocoryneum","g__Saccharomyces","g__Dominikia","g__Phanerochaete","g__Cylindrosympodium","g__Bulleromyces","g__Spirosphaera","g__Ganoderma","g__Pseudombrophila","g__Grifola","g__Cryptococcus","g__Cladorrhinum","g__Gloeohypochnicium","g__Sporormia","g__Beauveria","g__Lepiota","g__Thyronectria","g__Infundichalara","g__Harzia","g__Minimelanolocus","g__Schwanniomyces","g__Conocybe","g__Pyrenophora","g__Rinaldiella","g__Neobulgaria","g__Pleotrichocladium","g__Scytalidium","g__Dictyochaeta","g__Lycoperdon","g__Magnaporthiopsis","g__Hypomyces","g__Plectosphaerella","g__Pleurotheciella","g__Vanrija","g__Simplicillium","g__Galerina","g__Waitea","g__Clathrus","g__Syncephalis","g__Nadsonia","g__Zymoseptoria","g__Claviceps","g__Atractospora","g__Staphylotrichum","g__Holtermanniella","g__Scutellinia","g__Leucosporidium","g__Lipomyces","g__Epicoccum","g__Phaeoisaria","g__Atractium","g__Sanchytrium","g__Thanatephorus","g__Albifimbria","g__Keissleriella","g__Rhizophlyctis","g__Pseudeurotium","g__Paraphaeosphaeria","g__Setophoma","g__Cylindrocarpon","g__Podospora","g__Dioszegia","g__Umbelopsis","g__Rhizoglomus","g__Clonostachys","g__Cutaneotrichosporon","g__Knufia","g__Marasmius","g__Curvibasidium","g__Sarocladium","g__Conioscypha","g__Cyphellophora","g__Septoglomus","g__Mucor","g__Chrysosporium","g__Trametes","g__Smaragdiniseta","g__Auricularia","g__Cosmospora","g__Niesslia","g__Thelonectria","g__Entoloma","g__Bifiguratus","g__Anthracocystis","g__Lophotrichus","g__Leucoagaricus","g__Pichia","g__Vishniacozyma","g__Cystofilobasidium","g__Kabatiella","g__Alatospora","g__Candida","g__Olpidium","g__Parasarocladium","g__Metapochonia","g__Botryotrichum","g__Septoria","g__Nigrospora","g__Selenophoma","g__Symmetrospora","g__Robillarda","g__Conlarium","g__Rhizoctonia","g__Angustimassarina","g__Lophiostoma","g__Cylindrocladium","g__Apodus","g__Ascobolus","g__Bannoa","g__Coniochaeta","g__Sampaiozyma","g__Pseudocosmospora","g__Westerdykella","g__Devriesia","g__Paramyrothecium","g__Geminibasidium","g__Volutella","g__Graphiola","g__Trichocladium","g__Psathyrella","g__Parathyridaria","g__Cadophora","g__Neoascochyta","g__Dactylaria","g__Acrostalagmus","g__Paraphoma","g__Scolecobasidium","g__Chaetomium","g__Articulospora","g__Glomus","g__Sporobolomyces","g__Pestalotiopsis","g__Mycoarthris","g__Metacordyceps","g__Cuniculitrema","g__Cyberlindnera","g__Hemimycena","g__Mariannaea","g__Cercophora","g__Neonectria","g__Paraglomus","g__Pseudopithomyces","g__Fusidium","g__Gliomastix","g__Periconia","g__Parafabraea","g__Pseudofabraea","g__Didymocyrtis","g__Mrakia","g__Microdochium","g__Rhodotorula","g__Pseudogymnoascus","g__Rhizophydium","g__Condenascus","g__Phaeosphaeria","g__Dichotomopilus","g__Funneliformis","g__Tausonia","g__Rachicladosporium","g__Tilletiopsis","g__Acremonium","g__Phallus","g__Trichoderma","g__Myceliophthora","g__Spiromyces","g__Naganishia","g__Bionectria","g__Filobasidium","g__Gyoerffyella","g__Metarhizium","g__Alternaria","g__Pyrenochaetopsis","g__Solicoccozyma","g__Gibberella","g__Malassezia","g__Exophiala","g__Meyerozyma","g__Saitozyma","g__Humicola","g__Neocosmospora","g__Papiliotrema","g__Dactylonectria","g__Fusarium","g__Apiotrichum","g__Mycosphaerella","g__Ilyonectria","g__Fusicolla","g__Cladosporium","g__Mortierella","g__Aspergillus"
"sfITS1","1",2019,"A",1,"soil","A","noGC","LV",0,"400",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,2,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,8,0,0,0,7,17,0,0,0,0,0,34,348,0,0,103,5,13,0,2,132,0,123,0,0,0,0,0,106,38,145,14,0,37,5,0,209,2,53,237,955,0,42,0,38,317,87,45,20,272,142,0,0,27,19,1411,0
"sfITS2","2",2019,"A",2,"soil","A","noGC","LV",33,"504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,336,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,932,0,0,0,0,0,0,0,223,0,147,0,0,0,0,0,0,0,0,0,0,0,138,0,0,2162,0,0,343,129,0,281,0,201,0,0,0,515,499,306,0,479,599,651,15658
"sfITS3","3",2019,"A",3,"soil","A","noGC","LV",66,"697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4682,18646,0,0,6665,0,0,0,22466,0,0
"sfITS6","6",2019,"A",6,"soil","A","GC","LV",66,"707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,192,0,0,170,228,0,0,0,0,0,0,0,131,0,0,0,0,584,0,198,320,71,557,3490
"sfITS8","8",2019,"A",8,"soil","A","noGC","MV",33,"692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,34,0,40,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,219,0,13,0,0,22,92,75,35,0,0,0,0,27,82,629,0,180,0,0,77,130,93,17,404,50,0,0,0,155,303,0,0,592,5661,0,373,1565,505,2536,289
"sfITS9","9",2019,"A",9,"soil","A","noGC","MV",66,"685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,0,0,0,0,0,0,5605,0,0,0,0,0,0
"sfITS10","10",2019,"A",10,"soil","A","GC","MV",0,"738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,10,0,0,0,0,86,7,0,0,0,0,0,0,0,0,4,106,0,2,0,0,0,0,0,174,3,0,0,0,0,114,0,5,7,126,0,10,0,8,355,84,9,0,0,262,0,6,32,0,555,0
"sfITS11","11",2019,"A",11,"soil","A","GC","MV",33,"702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13903,0,0,0,0,0,0,0,0,0,0,0,0,0
"sfITS12","12",2019,"A",12,"soil","A","GC","MV",66,"760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10114,8036,0,0,0,13839,0
"sfITS13","13",2019,"B",1,"soil","B","GC","LV",0,"724",0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,7,0,0,11,23,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,2,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,0,0,0,0,0,31,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,3,0,13,9,0,15,0,0,0,163,32,0,0,0,8,0,0,0,0,9,378,0,5,0,0,11,0,53,567,9,0,75,0,0,471,0,42,46,180,0,17,0,57,805,398,128,0,627,1056,0,30,52,3,3321,32
