"","year","type","blk","gc","rs","depth","mass","newroot","p__Entomophthoromycota","p__Calcarisporiellomycota","p__Blastocladiomycota","p__Entorrhizomycota","p__Chytridiomycota","p__Monoblepharomycota","p__Rozellomycota","p__Basidiobolomycota","p__Olpidiomycota","p__Glomeromycota","p__Kickxellomycota","p__Mucoromycota","p__Zoopagomycota","p__Mortierellomycota","p__Ascomycota","p__Basidiomycota"
"SF1",2020,"soil","A","noGC","LV",0,313,313,0,0,0,0,13,0,6,0,0,0,64,254,156,4709,13567,5052
"SF10",2020,"soil","A","noGC","MV",0,312,312,0,0,0,0,10,6,20,18,22,61,475,107,180,4887,13862,7395
"SF11",2020,"soil","A","noGC","MV",33,320,320,0,0,0,3,4,0,0,0,0,60,27,174,146,8048,25318,11856
"SF12",2020,"soil","A","noGC","MV",66,302,302,0,0,0,0,44,0,11,399,16,180,123,317,160,8480,26698,12250
"SF13",2020,"soil","B","GC","LV",0,323,323,0,0,0,0,16,0,36,19,62,114,729,7,126,4993,14631,4170
"SF14",2020,"soil","B","GC","LV",33,274,274,0,0,0,0,5,0,0,0,0,165,33,190,179,8166,21182,6533
"SF15",2020,"soil","B","GC","LV",66,298,298,0,0,0,0,24,0,0,0,17,179,5,94,66,8627,21286,16448
"SF16",2020,"soil","B","noGC","LV",0,298,298,2,0,0,0,6,0,0,0,0,8,74,52,22,2474,15067,5334
"SF17",2020,"soil","B","noGC","LV",33,299,299,0,0,0,0,0,0,0,29,16,67,11,132,70,4301,23672,5635
"SF18",2020,"soil","B","noGC","LV",66,302,302,0,0,0,0,26,11,0,34,9,31,5,118,80,4267,11794,9749
"SF19",2020,"soil","B","noGC","MV",0,302,302,0,0,0,0,50,0,8,0,4,36,344,50,410,6088,21378,3520
"SF2",2020,"soil","A","noGC","LV",33,326,326,0,0,0,0,0,4,3,0,14,0,71,170,92,5042,13002,10815
"SF20",2020,"soil","B","noGC","MV",33,305,305,0,0,0,3,24,0,0,10,10,16,162,142,144,7313,16553,5452
"SF21",2020,"soil","B","noGC","MV",66,308,308,0,0,0,0,5,0,0,0,0,250,23,186,62,10794,19279,6168
"SF22",2020,"soil","B","GC","MV",0,298,298,0,0,0,0,0,0,22,0,108,63,556,209,283,2540,10537,13799
"SF23",2020,"soil","B","GC","MV",33,294,294,0,0,0,0,10,0,0,0,0,205,515,180,95,5432,22575,8761
"SF24",2020,"soil","B","GC","MV",66,321,321,0,0,0,11,3,0,0,0,7,60,227,126,109,6614,21874,6202
"SF25",2020,"soil","C","noGC","MV",0,298,298,0,0,0,0,29,0,84,0,17,220,71,97,510,6478,14549,8786
"SF26",2020,"soil","C","noGC","MV",33,328,328,0,0,0,0,20,0,0,0,0,0,7,180,128,3569,22315,8175
"SF27",2020,"soil","C","noGC","MV",66,289,289,0,0,0,0,6,0,0,0,0,0,10,131,87,4882,21851,10280
"SF28",2020,"soil","C","GC","MV",0,304,304,0,0,0,0,4,0,5,0,72,193,197,47,98,4399,9397,3976
"SF29",2020,"soil","C","GC","MV",33,326,326,0,0,0,3,3,0,0,6,0,48,18,443,154,6869,21808,14228
"SF3",2020,"soil","A","noGC","LV",66,292,292,0,0,0,0,13,17,4,0,18,437,14,295,79,7658,23459,9434
"SF30",2020,"soil","C","GC","MV",66,315,315,0,0,0,0,0,0,0,5,0,14,4,128,49,5069,17381,5839
"SF31",2020,"soil","C","noGC","LV",0,300,300,0,0,0,7,14,4,0,0,0,58,176,24,369,6467,16387,4689
"SF32",2020,"soil","C","noGC","LV",33,314,314,0,0,0,0,4,0,0,6,9,9,69,237,167,4898,18205,9238
"SF33",2020,"soil","C","noGC","LV",66,309,309,0,0,0,0,3,0,0,0,0,13,149,201,107,4353,26623,18585
"SF34",2020,"soil","C","GC","LV",0,293,293,0,0,0,0,35,0,3,0,460,308,4734,49,274,6436,19499,2848
"SF35",2020,"soil","C","GC","LV",33,306,306,0,0,0,0,0,0,0,0,24,58,0,108,16,3699,42843,4881
"SF36",2020,"soil","C","GC","LV",66,289,289,0,0,0,0,3,0,0,11,72,157,47,619,52,10435,33037,11793
"SF37",2020,"soil","D","GC","LV",0,321,321,0,0,0,0,9,0,9,0,217,58,1445,8,75,4851,13008,3550
"SF38",2020,"soil","D","GC","LV",33,318,318,0,0,0,0,7,0,0,0,57,176,40,229,59,5455,10928,4234
"SF39",2020,"soil","D","GC","LV",66,307,307,0,0,0,0,6,0,0,0,0,474,10,142,53,3258,20858,9870
"SF4",2020,"soil","A","GC","LV",0,278,278,0,0,0,0,0,0,4,0,123,70,1516,229,191,4220,11415,6367
"SF40",2020,"soil","D","noGC","LV",0,291,291,0,0,0,0,0,0,4,0,52,110,278,78,202,9447,11514,3157
"SF41",2020,"soil","D","noGC","LV",33,310,310,0,0,0,0,0,0,2,0,8,0,25,209,69,4898,29316,8770
"SF42",2020,"soil","D","noGC","LV",66,328,328,0,0,0,0,2,0,0,0,0,0,21,194,57,3973,14302,8511
"SF43",2020,"soil","D","noGC","MV",0,306,306,0,0,0,0,7,0,0,10,0,17,1029,19,185,4999,13744,3721
"SF44",2020,"soil","D","noGC","MV",33,333,333,0,0,0,0,178,0,0,0,0,0,376,2108,0,10581,22103,12594
"SF45",2020,"soil","D","noGC","MV",66,304,304,0,0,0,0,6,0,0,39,0,124,5,132,74,4787,23372,10436
"SF46",2020,"soil","D","GC","MV",0,328,328,0,0,0,0,20,6,9,66,10,181,1325,0,126,5741,11066,15296
"SF47",2020,"soil","D","GC","MV",33,284,284,0,0,0,0,8,17,0,0,22,59,66,208,83,2577,18439,11141
"SF48",2020,"soil","D","GC","MV",66,322,322,0,0,0,0,0,8,7,100,0,68,36,250,107,9347,25700,10992
"SF49",2020,"grape","A","noGC","LV",0,0.501,31,0,0,0,0,4,0,0,4,10,9,48,15,813,1383,23854,3570
"SF5",2020,"soil","A","GC","LV",33,339,339,0,0,0,0,0,0,0,0,14,300,8,194,119,6721,21479,15594
"SF50",2020,"grape","A","noGC","LV",33,0.4975,48,0,0,0,0,4,0,9,0,0,16,20,7,91,895,8604,37423
"SF51",2020,"grape","A","noGC","LV",66,0.5025,45,0,0,0,0,4,0,0,0,0,123,3,41,43,920,13380,39835
