"","year","type","blk","gc","rs","depth","mass","Shannon","interact"
"Sa1",2019,"soil","A","noGC","LV","0","400",3.82780623068004,"noGC LV"
"Sa2",2019,"soil","A","noGC","LV","33","504",5.48209754705968,"noGC LV"
"Sa3",2019,"soil","A","noGC","LV","66","697",5.4893965876093,"noGC LV"
"Sa4",2019,"soil","A","GC","LV","0","495",3.37568598848946,"GC LV"
"Sa5",2019,"soil","A","GC","LV","33","805",5.65395225280803,"GC LV"
"Sa6",2019,"soil","A","GC","LV","66","707",5.87652830677531,"GC LV"
"Sa7",2019,"soil","A","noGC","MV","0","501",4.47464152001505,"noGC MV"
"Sa8",2019,"soil","A","noGC","MV","33","692",5.67765410316768,"noGC MV"
"Sa9",2019,"soil","A","noGC","MV","66","685",5.62900729484364,"noGC MV"
"Sa10",2019,"soil","A","GC","MV","0","738",3.61737119317736,"GC MV"
"Sa11",2019,"soil","A","GC","MV","33","702",5.59912463637748,"GC MV"
"Sa13",2019,"soil","B","GC","LV","0","724",3.97581072348866,"GC LV"
"Sa14",2019,"soil","B","GC","LV","33","788",6.08910143245742,"GC LV"
"Sa15",2019,"soil","B","GC","LV","66","750",5.61303375653939,"GC LV"
"Sa16",2019,"soil","B","noGC","LV","0","708",4.08276904166019,"noGC LV"
"Sa17",2019,"soil","B","noGC","LV","33","740",5.57108588965244,"noGC LV"
"Sa18",2019,"soil","B","noGC","LV","66","762",5.6174570815926,"noGC LV"
"Sa19",2019,"soil","B","noGC","MV","0","744",3.61042475584789,"noGC MV"
"Sa20",2019,"soil","B","noGC","MV","33","762",4.88234572271245,"noGC MV"
"Sa21",2019,"soil","B","noGC","MV","66","762",5.73400962551036,"noGC MV"
"Sa22",2019,"soil","B","GC","MV","0","44",4.19122958473953,"GC MV"
"Sa23",2019,"soil","B","GC","MV","33","704",5.33277411723884,"GC MV"
"Sa24",2019,"soil","B","GC","MV","66","725",5.61417406712539,"GC MV"
"Sa25",2019,"soil","C","noGC","MV","0","766",4.18512566343313,"noGC MV"
"Sa26",2019,"soil","C","noGC","MV","33","753",5.61446710868406,"noGC MV"
"Sa27",2019,"soil","C","noGC","MV","66","825",5.49985627296611,"noGC MV"
"Sa28",2019,"soil","C","GC","MV","0","732",3.89427354416522,"GC MV"
"Sa29",2019,"soil","C","GC","MV","33","459",4.37150623287962,"GC MV"
"Sa30",2019,"soil","C","GC","MV","66","736",5.90586767636048,"GC MV"
"Sa31",2019,"soil","C","noGC","LV","0","748",4.13761282900678,"noGC LV"
"Sa32",2019,"soil","C","noGC","LV","33","754",5.56549181985732,"noGC LV"
"Sa33",2019,"soil","C","noGC","LV","66","683",5.74856491088321,"noGC LV"
"Sa34",2019,"soil","C","GC","LV","0","695",4.28666420746214,"GC LV"
"Sa35",2019,"soil","C","GC","LV","33","774",5.75048454702579,"GC LV"
"Sa36",2019,"soil","C","GC","LV","66","737",5.68670428192461,"GC LV"
"SF1",2020,"soil","A","noGC","LV","0","313",4.32308607202308,"noGC LV"
"SF2",2020,"soil","A","noGC","LV","33","326",4.71701587666871,"noGC LV"
"SF3",2020,"soil","A","noGC","LV","66","292",4.89284325464773,"noGC LV"
"SF4",2020,"soil","A","GC","LV","0","278",5.24646670416552,"GC LV"
"SF5",2020,"soil","A","GC","LV","33","339",4.16478649418914,"GC LV"
"SF6",2020,"soil","A","GC","LV","66","297",4.58674042908865,"GC LV"
"SF7",2020,"soil","A","GC","MV","0","267",4.64998352833861,"GC MV"
