"","year","type","blk","gc","rs","depth","mass","Shannon","interact"
"Sa1",2019,"soil","A","noGC","LV","0","400",2.46246511483647,"noGC LV"
"Sa2",2019,"soil","A","noGC","LV","33","504",2.46390710989406,"noGC LV"
"Sa3",2019,"soil","A","noGC","LV","66","697",2.42795579073831,"noGC LV"
"Sa4",2019,"soil","A","GC","LV","0","495",1.78344336272598,"GC LV"
"Sa5",2019,"soil","A","GC","LV","33","805",2.35232302627247,"GC LV"
"Sa6",2019,"soil","A","GC","LV","66","707",2.27743505961765,"GC LV"
"Sa7",2019,"soil","A","noGC","MV","0","501",2.33584191778148,"noGC MV"
"Sa8",2019,"soil","A","noGC","MV","33","692",2.25609595213439,"noGC MV"
"Sa9",2019,"soil","A","noGC","MV","66","685",2.30486520583803,"noGC MV"
"Sa10",2019,"soil","A","GC","MV","0","738",2.20222651192019,"GC MV"
"Sa11",2019,"soil","A","GC","MV","33","702",2.43032948832423,"GC MV"
"Sa13",2019,"soil","B","GC","LV","0","724",2.24835033517328,"GC LV"
"Sa14",2019,"soil","B","GC","LV","33","788",2.03526467392955,"GC LV"
"Sa15",2019,"soil","B","GC","LV","66","750",2.06113214655293,"GC LV"
"Sa16",2019,"soil","B","noGC","LV","0","708",2.35697591964435,"noGC LV"
"Sa17",2019,"soil","B","noGC","LV","33","740",2.00305685863311,"noGC LV"
"Sa18",2019,"soil","B","noGC","LV","66","762",2.33310263856947,"noGC LV"
"Sa19",2019,"soil","B","noGC","MV","0","744",2.35172484596852,"noGC MV"
"Sa20",2019,"soil","B","noGC","MV","33","762",3.27479527236111,"noGC MV"
"Sa21",2019,"soil","B","noGC","MV","66","762",2.67019610608348,"noGC MV"
"Sa22",2019,"soil","B","GC","MV","0","44",2.46302116791219,"GC MV"
"Sa23",2019,"soil","B","GC","MV","33","704",1.94598949032554,"GC MV"
"Sa24",2019,"soil","B","GC","MV","66","725",2.21882207770805,"GC MV"
"Sa25",2019,"soil","C","noGC","MV","0","766",2.22838981838063,"noGC MV"
"Sa26",2019,"soil","C","noGC","MV","33","753",2.11821767991609,"noGC MV"
"Sa27",2019,"soil","C","noGC","MV","66","825",2.33704887095178,"noGC MV"
"Sa28",2019,"soil","C","GC","MV","0","732",2.12075304531986,"GC MV"
"Sa29",2019,"soil","C","GC","MV","33","459",1.96182232498868,"GC MV"
"Sa30",2019,"soil","C","GC","MV","66","736",2.59774853216857,"GC MV"
