"","year","type","blk","gc","rs","depth","mass","Shannon","interact"
"Sa1",2019,"soil","A","noGC","LV","0","400",2.14450103888319,"noGC LV"
"Sa2",2019,"soil","A","noGC","LV","33","504",1.48732736693717,"noGC LV"
"Sa3",2019,"soil","A","noGC","LV","66","697",1.30613227092918,"noGC LV"
"Sa4",2019,"soil","A","GC","LV","0","495",1.73961105491969,"GC LV"
"Sa5",2019,"soil","A","GC","LV","33","805",1.46300271929311,"GC LV"
"Sa6",2019,"soil","A","GC","LV","66","707",1.20938007487632,"GC LV"
"Sa7",2019,"soil","A","noGC","MV","0","501",2.04440557751338,"noGC MV"
"Sa8",2019,"soil","A","noGC","MV","33","692",1.38697756312164,"noGC MV"
"Sa9",2019,"soil","A","noGC","MV","66","685",1.31489351030221,"noGC MV"
"Sa10",2019,"soil","A","GC","MV","0","738",1.91260227844824,"GC MV"
"Sa11",2019,"soil","A","GC","MV","33","702",1.30360305487843,"GC MV"
"Sa13",2019,"soil","B","GC","LV","0","724",2.07707502235777,"GC LV"
"Sa14",2019,"soil","B","GC","LV","33","788",1.32078022153442,"GC LV"
"Sa15",2019,"soil","B","GC","LV","66","750",1.46815501361282,"GC LV"
"Sa16",2019,"soil","B","noGC","LV","0","708",1.89745995020433,"noGC LV"
"Sa17",2019,"soil","B","noGC","LV","33","740",1.28696593672369,"noGC LV"
"Sa18",2019,"soil","B","noGC","LV","66","762",1.44344347970877,"noGC LV"
"Sa19",2019,"soil","B","noGC","MV","0","744",1.94960588249893,"noGC MV"
"Sa20",2019,"soil","B","noGC","MV","33","762",1.43246912062564,"noGC MV"
"Sa21",2019,"soil","B","noGC","MV","66","762",1.56363704600807,"noGC MV"
"Sa22",2019,"soil","B","GC","MV","0","44",2.16912297952935,"GC MV"
"Sa23",2019,"soil","B","GC","MV","33","704",0.98491124048635,"GC MV"
"Sa24",2019,"soil","B","GC","MV","66","725",1.51450840245584,"GC MV"
"Sa25",2019,"soil","C","noGC","MV","0","766",2.03145389252568,"noGC MV"
"Sa26",2019,"soil","C","noGC","MV","33","753",1.28654900516826,"noGC MV"
"Sa27",2019,"soil","C","noGC","MV","66","825",1.32236308341924,"noGC MV"
"Sa28",2019,"soil","C","GC","MV","0","732",1.96470292059387,"GC MV"
"Sa29",2019,"soil","C","GC","MV","33","459",0.927153405542655,"GC MV"
"Sa30",2019,"soil","C","GC","MV","66","736",1.58567611824348,"GC MV"
"Sa31",2019,"soil","C","noGC","LV","0","748",1.84181941734876,"noGC LV"
"Sa32",2019,"soil","C","noGC","LV","33","754",1.07307267832105,"noGC LV"
"Sa33",2019,"soil","C","noGC","LV","66","683",1.19141508030482,"noGC LV"
"Sa34",2019,"soil","C","GC","LV","0","695",1.92459799830995,"GC LV"
"Sa35",2019,"soil","C","GC","LV","33","774",1.32000288233176,"GC LV"
"Sa36",2019,"soil","C","GC","LV","66","737",1.47255965296408,"GC LV"
"SF1",2020,"soil","A","noGC","LV","0","313",2.19802755275636,"noGC LV"
"SF2",2020,"soil","A","noGC","LV","33","326",2.09906417360209,"noGC LV"
"SF3",2020,"soil","A","noGC","LV","66","292",2.12401664677332,"noGC LV"
"SF4",2020,"soil","A","GC","LV","0","278",2.10835811657686,"GC LV"
"SF5",2020,"soil","A","GC","LV","33","339",1.94925674390834,"GC LV"
"SF6",2020,"soil","A","GC","LV","66","297",2.05002248600545,"GC LV"
"SF7",2020,"soil","A","GC","MV","0","267",2.08442938071556,"GC MV"
"SF8",2020,"soil","A","GC","MV","33","327",2.19336541263948,"GC MV"
"SF9",2020,"soil","A","GC","MV","66","311",2.19649761782179,"GC MV"
"SF10",2020,"soil","A","noGC","MV","0","312",2.06699691035177,"noGC MV"
"SF11",2020,"soil","A","noGC","MV","33","320",2.06246227544111,"noGC MV"
"SF12",2020,"soil","A","noGC","MV","66","302",2.14309557127877,"noGC MV"
"SF13",2020,"soil","B","GC","LV","0","323",2.02516523306731,"GC LV"
"SF14",2020,"soil","B","GC","LV","33","274",2.04093013175709,"GC LV"
"SF15",2020,"soil","B","GC","LV","66","298",2.0418250630355,"GC LV"
"SF16",2020,"soil","B","noGC","LV","0","298",1.93281146354908,"noGC LV"
"SF17",2020,"soil","B","noGC","LV","33","299",2.03537232747396,"noGC LV"
"SF18",2020,"soil","B","noGC","LV","66","302",2.20128351971534,"noGC LV"
"SF19",2020,"soil","B","noGC","MV","0","302",1.95499812360903,"noGC MV"
"SF20",2020,"soil","B","noGC","MV","33","305",1.93299104273213,"noGC MV"
"SF21",2020,"soil","B","noGC","MV","66","308",1.78960360969604,"noGC MV"
"SF22",2020,"soil","B","GC","MV","0","298",2.01675541951795,"GC MV"
"SF23",2020,"soil","B","GC","MV","33","294",2.2560056561919,"GC MV"
"SF24",2020,"soil","B","GC","MV","66","321",1.9617553126355,"GC MV"
"SF25",2020,"soil","C","noGC","MV","0","298",2.01706679872411,"noGC MV"
"SF26",2020,"soil","C","noGC","MV","33","328",2.07283086343173,"noGC MV"
"SF27",2020,"soil","C","noGC","MV","66","289",2.03685210349404,"noGC MV"
"SF28",2020,"soil","C","GC","MV","0","304",2.01946719533979,"GC MV"
"SF29",2020,"soil","C","GC","MV","33","326",1.99822714741712,"GC MV"
"SF30",2020,"soil","C","GC","MV","66","315",2.09940423833747,"GC MV"
"SF31",2020,"soil","C","noGC","LV","0","300",1.98609340167299,"noGC LV"
"SF32",2020,"soil","C","noGC","LV","33","314",1.97317138169738,"noGC LV"
"SF33",2020,"soil","C","noGC","LV","66","309",1.84218269852638,"noGC LV"
"SF34",2020,"soil","C","GC","LV","0","293",2.23219716367303,"GC LV"
"SF35",2020,"soil","C","GC","LV","33","306",2.05284016329983,"GC LV"
"SF36",2020,"soil","C","GC","LV","66","289",1.78922413486571,"GC LV"
"SF37",2020,"soil","D","GC","LV","0","321",1.87363257184438,"GC LV"
"SF38",2020,"soil","D","GC","LV","33","318",2.15203399633635,"GC LV"
"SF39",2020,"soil","D","GC","LV","66","307",2.11551496629517,"GC LV"
"SF40",2020,"soil","D","noGC","LV","0","291",1.91150557112076,"noGC LV"
"SF41",2020,"soil","D","noGC","LV","33","310",1.94158731901633,"noGC LV"
"SF42",2020,"soil","D","noGC","LV","66","328",2.02035984849158,"noGC LV"
"SF43",2020,"soil","D","noGC","MV","0","306",1.9557076966071,"noGC MV"
"SF44",2020,"soil","D","noGC","MV","33","333",1.83319517463192,"noGC MV"
"SF45",2020,"soil","D","noGC","MV","66","304",2.11810359473128,"noGC MV"
"SF46",2020,"soil","D","GC","MV","0","328",1.72657526391429,"GC MV"
"SF47",2020,"soil","D","GC","MV","33","284",2.01843485727919,"GC MV"
