"","year","type","blk","gc","rs","depth","mass","Shannon","interact"
"sfITS1",2019,"soil","A","noGC","LV","0","400",0.951865781739836,"noGC LV"
"sfITS2",2019,"soil","A","noGC","LV","33","504",0.492549631602629,"noGC LV"
"sfITS3",2019,"soil","A","noGC","LV","66","697",0.688664036415884,"noGC LV"
"sfITS6",2019,"soil","A","GC","LV","66","707",0.78349771030757,"GC LV"
"sfITS8",2019,"soil","A","noGC","MV","33","692",1.1993718425631,"noGC MV"
"sfITS9",2019,"soil","A","noGC","MV","66","685",0,"noGC MV"
"sfITS10",2019,"soil","A","GC","MV","0","738",0.952257562875453,"GC MV"
"sfITS11",2019,"soil","A","GC","MV","33","702",0,"GC MV"
"sfITS12",2019,"soil","A","GC","MV","66","760",1.08187875329919,"GC MV"
"sfITS13",2019,"soil","B","GC","LV","0","724",1.03258457631532,"GC LV"
"sfITS16",2019,"soil","B","noGC","LV","0","708",0.983014047293619,"noGC LV"
"sfITS17",2019,"soil","B","noGC","LV","33","740",0.63565339916957,"noGC LV"
"sfITS18",2019,"soil","B","noGC","LV","66","762",0.00518739553569575,"noGC LV"
"sfITS19",2019,"soil","B","noGC","MV","0","744",1.08917845417754,"noGC MV"
"sfITS22",2019,"soil","B","GC","MV","0","44",1.08480713685639,"GC MV"
"sfITS24",2019,"soil","B","GC","MV","66","725",0,"GC MV"
"sfITS25",2019,"soil","C","noGC","MV","0","766",0.900622950665688,"noGC MV"
"sfITS28",2019,"soil","C","GC","MV","0","732",0.882932555224657,"GC MV"
"sfITS31",2019,"soil","C","noGC","LV","0","748",0.912682624157914,"noGC LV"
"sfITS32",2019,"soil","C","noGC","LV","33","754",1.08327632755635,"noGC LV"
"sfITS33",2019,"soil","C","noGC","LV","66","683",0.607633974807279,"noGC LV"
"sfITS34",2019,"soil","C","GC","LV","0","695",0.946801383311952,"GC LV"
"sfITS35",2019,"soil","C","GC","LV","33","774",0.675486577432521,"GC LV"
"SF1",2020,"soil","A","noGC","LV","0","313",1.07719702228509,"noGC LV"
"SF10",2020,"soil","A","noGC","MV","0","312",1.16430233891729,"noGC MV"
"SF11",2020,"soil","A","noGC","MV","33","320",1.03471245223848,"noGC MV"
"SF12",2020,"soil","A","noGC","MV","66","302",1.11515679382126,"noGC MV"
"SF13",2020,"soil","B","GC","LV","0","323",1.13088871903216,"GC LV"
"SF14",2020,"soil","B","GC","LV","33","274",1.03363342029736,"GC LV"
"SF15",2020,"soil","B","GC","LV","66","298",1.08607695888636,"GC LV"
"SF16",2020,"soil","B","noGC","LV","0","298",0.894435418261124,"noGC LV"
"SF17",2020,"soil","B","noGC","LV","33","299",0.872486004511893,"noGC LV"
"SF18",2020,"soil","B","noGC","LV","66","302",1.09601698390888,"noGC LV"
"SF19",2020,"soil","B","noGC","MV","0","302",0.967951794191608,"noGC MV"
"SF2",2020,"soil","A","noGC","LV","33","326",1.10031859384537,"noGC LV"
"SF20",2020,"soil","B","noGC","MV","33","305",1.07595670132369,"noGC MV"
"SF21",2020,"soil","B","noGC","MV","66","308",1.07988147221718,"noGC MV"
"SF22",2020,"soil","B","GC","MV","0","298",1.13179112794583,"GC MV"
"SF23",2020,"soil","B","GC","MV","33","294",1.04845978225827,"GC MV"
"SF24",2020,"soil","B","GC","MV","66","321",1.004923969768,"GC MV"
"SF25",2020,"soil","C","noGC","MV","0","298",1.20888463884484,"noGC MV"
"SF26",2020,"soil","C","noGC","MV","33","328",0.91487926273173,"noGC MV"
"SF27",2020,"soil","C","noGC","MV","66","289",0.967848826485531,"noGC MV"
"SF28",2020,"soil","C","GC","MV","0","304",1.17767076713141,"GC MV"
"SF29",2020,"soil","C","GC","MV","33","326",1.08689223132079,"GC MV"
"SF3",2020,"soil","A","noGC","LV","66","292",1.08382022000576,"noGC LV"
