"","year","type","blk","gc","rs","depth","mass","Shannon","interact"
"sfITS1",2019,"soil","A","noGC","LV","0","400",3.32041181923422,"noGC LV"
"sfITS2",2019,"soil","A","noGC","LV","33","504",2.91701970279888,"noGC LV"
"sfITS3",2019,"soil","A","noGC","LV","66","697",1.63407687058489,"noGC LV"
"sfITS6",2019,"soil","A","GC","LV","66","707",2.65884107653318,"GC LV"
"sfITS8",2019,"soil","A","noGC","MV","33","692",3.86894047577198,"noGC MV"
"sfITS9",2019,"soil","A","noGC","MV","66","685",1.41972267461173,"noGC MV"
"sfITS10",2019,"soil","A","GC","MV","0","738",2.09737206962153,"GC MV"
"sfITS11",2019,"soil","A","GC","MV","33","702",0.435591556270413,"GC MV"
"sfITS12",2019,"soil","A","GC","MV","66","760",1.56467863544757,"GC MV"
"sfITS13",2019,"soil","B","GC","LV","0","724",3.49262677601515,"GC LV"
"sfITS16",2019,"soil","B","noGC","LV","0","708",3.20522803255044,"noGC LV"
"sfITS17",2019,"soil","B","noGC","LV","33","740",1.87212631567279,"noGC LV"
"sfITS18",2019,"soil","B","noGC","LV","66","762",1.51209953448734,"noGC LV"
"sfITS19",2019,"soil","B","noGC","MV","0","744",1.80367865158013,"noGC MV"
"sfITS20",2019,"soil","B","noGC","MV","33","762",0.319521916066561,"noGC MV"
"sfITS22",2019,"soil","B","GC","MV","0","44",2.68391264915106,"GC MV"
"sfITS24",2019,"soil","B","GC","MV","66","725",1.27773016550032,"GC MV"
"sfITS25",2019,"soil","C","noGC","MV","0","766",3.40197395790203,"noGC MV"
"sfITS28",2019,"soil","C","GC","MV","0","732",3.36893324828261,"GC MV"
"sfITS31",2019,"soil","C","noGC","LV","0","748",3.0356631722977,"noGC LV"
"sfITS32",2019,"soil","C","noGC","LV","33","754",3.26171760689994,"noGC LV"
"sfITS33",2019,"soil","C","noGC","LV","66","683",1.84194704695069,"noGC LV"
"sfITS34",2019,"soil","C","GC","LV","0","695",3.23302227080589,"GC LV"
"sfITS35",2019,"soil","C","GC","LV","33","774",1.20124722197811,"GC LV"
"SF1",2020,"soil","A","noGC","LV","0","313",4.18167937032225,"noGC LV"
"SF10",2020,"soil","A","noGC","MV","0","312",4.23566256397577,"noGC MV"
"SF11",2020,"soil","A","noGC","MV","33","320",3.88115402971363,"noGC MV"
