"","year","type","blk","gc","rs","depth","mass","Shannon","interact"
"sfITS1",2019,"soil","A","noGC","LV","0","400",2.68320282408143,"noGC LV"
"sfITS2",2019,"soil","A","noGC","LV","33","504",1.84564070196576,"noGC LV"
"sfITS3",2019,"soil","A","noGC","LV","66","697",1.22964162779332,"noGC LV"
"sfITS6",2019,"soil","A","GC","LV","66","707",1.81795472036185,"GC LV"
"sfITS8",2019,"soil","A","noGC","MV","33","692",2.25099131495162,"noGC MV"
"sfITS9",2019,"soil","A","noGC","MV","66","685",0.970238668441057,"noGC MV"
"sfITS10",2019,"soil","A","GC","MV","0","738",2.3306306054303,"GC MV"
"sfITS11",2019,"soil","A","GC","MV","33","702",0.0244701699583844,"GC MV"
"sfITS12",2019,"soil","A","GC","MV","66","760",1.18927033195941,"GC MV"
"sfITS13",2019,"soil","B","GC","LV","0","724",2.32058361364336,"GC LV"
"sfITS16",2019,"soil","B","noGC","LV","0","708",2.72937472479783,"noGC LV"
"sfITS17",2019,"soil","B","noGC","LV","33","740",1.33748957500657,"noGC LV"
"sfITS18",2019,"soil","B","noGC","LV","66","762",0.955151636407062,"noGC LV"
"sfITS19",2019,"soil","B","noGC","MV","0","744",2.09501959893887,"noGC MV"
"sfITS22",2019,"soil","B","GC","MV","0","44",1.94096286998174,"GC MV"
"sfITS24",2019,"soil","B","GC","MV","66","725",0.0583471050851143,"GC MV"
"sfITS25",2019,"soil","C","noGC","MV","0","766",2.84769289488064,"noGC MV"
"sfITS28",2019,"soil","C","GC","MV","0","732",2.45776408089398,"GC MV"
"sfITS31",2019,"soil","C","noGC","LV","0","748",2.16763895932765,"noGC LV"
"sfITS32",2019,"soil","C","noGC","LV","33","754",2.50969886498491,"noGC LV"
"sfITS33",2019,"soil","C","noGC","LV","66","683",1.29476723911984,"noGC LV"
"sfITS34",2019,"soil","C","GC","LV","0","695",2.12811025750837,"GC LV"
"sfITS35",2019,"soil","C","GC","LV","33","774",0.632124227592969,"GC LV"
"SF1",2020,"soil","A","noGC","LV","0","313",2.95289806296613,"noGC LV"
"SF10",2020,"soil","A","noGC","MV","0","312",3.00218935195473,"noGC MV"
"SF11",2020,"soil","A","noGC","MV","33","320",2.54903106097117,"noGC MV"
"SF12",2020,"soil","A","noGC","MV","66","302",2.95062365014547,"noGC MV"
"SF13",2020,"soil","B","GC","LV","0","323",3.04562415092758,"GC LV"
"SF14",2020,"soil","B","GC","LV","33","274",2.6548252584687,"GC LV"
"SF15",2020,"soil","B","GC","LV","66","298",2.74911835676387,"GC LV"
"SF16",2020,"soil","B","noGC","LV","0","298",2.38534066432319,"noGC LV"
"SF17",2020,"soil","B","noGC","LV","33","299",2.64803509709477,"noGC LV"
"SF18",2020,"soil","B","noGC","LV","66","302",2.45032686020056,"noGC LV"
"SF19",2020,"soil","B","noGC","MV","0","302",2.94807417862436,"noGC MV"
"SF2",2020,"soil","A","noGC","LV","33","326",2.89512804219287,"noGC LV"
"SF20",2020,"soil","B","noGC","MV","33","305",2.54903379147695,"noGC MV"
"SF21",2020,"soil","B","noGC","MV","66","308",2.64420472584677,"noGC MV"
"SF22",2020,"soil","B","GC","MV","0","298",2.38254320600146,"GC MV"
"SF23",2020,"soil","B","GC","MV","33","294",3.11010121795587,"GC MV"
"SF24",2020,"soil","B","GC","MV","66","321",2.97333475924358,"GC MV"
"SF25",2020,"soil","C","noGC","MV","0","298",2.9407239826375,"noGC MV"
"SF26",2020,"soil","C","noGC","MV","33","328",2.6847784495437,"noGC MV"
"SF27",2020,"soil","C","noGC","MV","66","289",2.7644851196214,"noGC MV"
"SF28",2020,"soil","C","GC","MV","0","304",2.95227943495893,"GC MV"
"SF29",2020,"soil","C","GC","MV","33","326",2.72593301291171,"GC MV"
"SF3",2020,"soil","A","noGC","LV","66","292",2.97864148452552,"noGC LV"
"SF30",2020,"soil","C","GC","MV","66","315",2.53459271210668,"GC MV"
"SF31",2020,"soil","C","noGC","LV","0","300",3.08514223681831,"noGC LV"
"SF32",2020,"soil","C","noGC","LV","33","314",2.96570794950159,"noGC LV"
"SF33",2020,"soil","C","noGC","LV","66","309",2.68319355056126,"noGC LV"
"SF34",2020,"soil","C","GC","LV","0","293",2.99530079189346,"GC LV"
"SF35",2020,"soil","C","GC","LV","33","306",1.70184917149922,"GC LV"
"SF36",2020,"soil","C","GC","LV","66","289",2.84797236895688,"GC LV"
"SF37",2020,"soil","D","GC","LV","0","321",2.94956302244912,"GC LV"
"SF38",2020,"soil","D","GC","LV","33","318",2.75170039787911,"GC LV"
"SF39",2020,"soil","D","GC","LV","66","307",2.81199235950275,"GC LV"
"SF4",2020,"soil","A","GC","LV","0","278",3.12577557195677,"GC LV"
"SF40",2020,"soil","D","noGC","LV","0","291",2.62904814379763,"noGC LV"
"SF41",2020,"soil","D","noGC","LV","33","310",2.6063750952675,"noGC LV"
"SF42",2020,"soil","D","noGC","LV","66","328",2.87982972299962,"noGC LV"
"SF43",2020,"soil","D","noGC","MV","0","306",3.02730573690481,"noGC MV"
"SF44",2020,"soil","D","noGC","MV","33","333",2.60606956476975,"noGC MV"
"SF45",2020,"soil","D","noGC","MV","66","304",2.59417354638867,"noGC MV"
"SF46",2020,"soil","D","GC","MV","0","328",2.90974599397409,"GC MV"
"SF47",2020,"soil","D","GC","MV","33","284",2.82626909509461,"GC MV"
"SF48",2020,"soil","D","GC","MV","66","322",2.61940182552867,"GC MV"
"SF5",2020,"soil","A","GC","LV","33","339",3.08244083157003,"GC LV"
"SF6",2020,"soil","A","GC","LV","66","297",2.98229447305991,"GC LV"
"SF7",2020,"soil","A","GC","MV","0","267",3.34510970954476,"GC MV"
"SF8",2020,"soil","A","GC","MV","33","327",3.0561746114793,"GC MV"
"SF9",2020,"soil","A","GC","MV","66","311",2.64934310476168,"GC MV"
